2026-04-15 23:27:12,035 [main] INFO treasure2 | TreasureTags.java:195 | in tags updated event
2026-04-15 23:27:15,370 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:15,374 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:overworld
2026-04-15 23:27:16,807 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,807 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:cretaceous
2026-04-15 23:27:16,815 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,815 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio_orbit
2026-04-15 23:27:16,836 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,836 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon
2026-04-15 23:27:16,844 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,844 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:jurassic
2026-04-15 23:27:16,856 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,856 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury
2026-04-15 23:27:16,872 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,872 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_end
2026-04-15 23:27:16,890 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,893 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:glacio
2026-04-15 23:27:16,940 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,940 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension gamma_creatures:gamma_dimension
2026-04-15 23:27:16,953 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,953 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension minecraft:the_nether
2026-04-15 23:27:16,986 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,986 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars
2026-04-15 23:27:16,995 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:16,995 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mercury_orbit
2026-04-15 23:27:17,001 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,001 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:mars_orbit
2026-04-15 23:27:17,007 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,007 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:earth_orbit
2026-04-15 23:27:17,013 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,013 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension prehistoricfauna:triassic
2026-04-15 23:27:17,019 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,019 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus_orbit
2026-04-15 23:27:17,121 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,121 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:moon_orbit
2026-04-15 23:27:17,140 [Server thread] INFO treasure2 | WorldEventHandler.java:46 | In world load event
2026-04-15 23:27:17,140 [Server thread] INFO treasure2 | WorldEventHandler.java:56 | In world load event for dimension ad_astra:venus
2026-04-15 23:45:48,307 [main] INFO treasure2 | RarityWeightDataHandler.java:67 | loading rarity weights from data packs...
2026-04-15 23:45:48,313 [main] INFO treasure2 | RarityWeightDataHandler.java:92 | loaded 0 rarity weight.
